,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
46264,Sri Lanka,West Indies,Pallekele,127,35,8,8.964705882352941,38.0,215
16230,New Zealand,India,Johannesburg,91,44,5,7.184210526315789,27.0,190
16834,Australia,Pakistan,Johannesburg,80,68,8,9.23076923076923,48.0,164
35913,New Zealand,England,Wellington,41,77,9,5.72093023255814,32.0,139
4026,Pakistan,New Zealand,Auckland,48,88,10,9.0,48.0,201
35945,New Zealand,England,Wellington,86,45,7,6.88,43.0,139
18715,England,New Zealand,Auckland,121,33,5,8.344827586206897,37.0,184
19376,South Africa,Australia,Centurion,117,24,6,7.3125,41.0,156
12142,England,Pakistan,Manchester,86,57,8,8.19047619047619,57.0,131
18202,New Zealand,England,Manchester,68,52,5,6.0,34.0,123
9397,Sri Lanka,Australia,Melbourne,84,44,7,6.631578947368421,35.0,142
5330,India,South Africa,Cape Town,135,19,6,8.01980198019802,32.0,172
9302,Australia,Sri Lanka,Adelaide,198,17,9,11.533980582524272,60.0,233
17359,Sri Lanka,Australia,Cape Town,63,45,3,5.04,33.0,101
29916,South Africa,New Zealand,Wellington,37,86,8,6.529411764705882,34.0,147
30946,England,Pakistan,Dubai,106,37,6,7.662650602409639,40.0,150
34802,West Indies,New Zealand,Lauderhill,43,82,9,6.7894736842105265,25.0,177
26052,Sri Lanka,England,St Lucia,102,16,5,5.884615384615385,27.0,128
6817,Pakistan,South Africa,Centurion,143,15,4,8.17142857142857,43.0,168
24363,Australia,Bangladesh,Barbados,33,87,8,6.0,32.0,141
25631,New Zealand,England,St Lucia,59,65,8,6.4363636363636365,29.0,149
3271,Afghanistan,West Indies,St Kitts,34,81,7,5.230769230769231,24.0,110
8152,New Zealand,India,Hamilton,112,52,9,9.882352941176471,41.0,212
20218,Australia,Sri Lanka,Nottingham,75,51,6,6.521739130434782,24.0,159
7877,Pakistan,England,Cardiff,48,76,8,6.545454545454546,31.0,173
36742,West Indies,Bangladesh,Mirpur,69,67,8,7.811320754716981,43.0,197
28834,Pakistan,South Africa,Abu Dhabi,80,50,6,6.857142857142857,36.0,119
9965,Australia,South Africa,Cape Town,91,72,10,11.375,54.0,193
27697,Australia,England,Melbourne,47,90,9,9.4,47.0,147
43644,South Africa,Bangladesh,Mirpur,96,56,9,9.0,51.0,169
6671,South Africa,Pakistan,Johannesburg,115,30,8,7.666666666666667,53.0,188
37944,South Africa,Australia,Centurion,103,20,3,6.18,31.0,128
43691,South Africa,Bangladesh,Mirpur,141,10,6,7.6909090909090905,27.0,169
43625,South Africa,Bangladesh,Mirpur,68,75,10,9.066666666666666,41.0,169
39722,West Indies,Bangladesh,Mirpur,34,89,10,6.580645161290323,25.0,171
35216,New Zealand,England,London,121,45,8,9.68,44.0,201
25666,New Zealand,England,St Lucia,112,30,7,7.466666666666667,49.0,149
1729,West Indies,Pakistan,Abu Dhabi,99,4,5,5.120689655172414,27.0,103
32632,New Zealand,England,Pallekele,35,85,8,6.0,28.0,148
4693,Sri Lanka,Pakistan,Abu Dhabi,68,44,3,5.368421052631579,20.0,102
